iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
67.0,-0.14507241547107697,-0.10776399816005106,-0.2429724688843899,0.0,-0.14507241547107697,-0.03249474877820296,-0.25418658283290013,0.0,-0.15640483796596527,-0.12408795207738876,5.025961648694659e-190,-0.25418658283290013,0.0,-0.1431790292263031,0.12314505875110626
68.0,-0.14506442844867706,-0.5221037285193977,-0.24313499227494803,0.0,-0.14506442844867706,-0.034160996044891465,-0.25418658283290013,0.0,-0.14452117681503296,-0.1474658101797104,6.842441891535772e-195,-0.25418658283290013,0.0,-0.15989837050437927,-0.14019596576690674
69.0,-0.14540164172649384,-0.12193059677469292,-0.24329287214006165,0.0,-0.14540164172649384,-0.031741850078105927,-0.25418658283290013,0.0,-0.1686694175004959,0.13517922163009644,2.8944051807978595e-200,-0.25418658283290013,0.0,-0.14722582697868347,0.11701760441064835
70.0,-0.1455388069152832,-0.5060693942770795,-0.2434463046850312,0.0,-0.1455388069152832,-0.029229001679890593,-0.25418658283290013,0.0,-0.15514075756072998,0.1466703861951828,1.6806079687426763e-199,-0.25418658283290013,0.0,-0.14369939267635345,-0.14727051556110382
71.0,-0.1456833928823471,-0.47467457717467765,-0.24359547521486263,0.0,-0.1456833928823471,-0.02699421967069308,-0.25418658283290013,0.0,-0.15594880282878876,0.13167530298233032,1.7334087244902453e-198,-0.25418658283290013,0.0,-0.1385783851146698,-0.1325722187757492
72.0,-0.14577628672122955,-0.11327141461771423,-0.24374055888086316,0.0,-0.14577628672122955,-0.024836120336023094,-0.25418658283290013,0.0,-0.15246501564979553,0.13054703176021576,8.447368561148018e-198,-0.25418658283290013,0.0,-0.16428247094154358,0.1357889473438263
73.0,-0.14593879878520966,-0.4958474287486809,-0.2438817213667015,0.0,-0.14593879878520966,-0.02319639447975803,-0.25418658283290013,0.0,-0.15780134499073029,0.0965035930275917,3.8908260022710876e-197,-0.25418658283290013,0.0,-0.14543142914772034,-0.14921684563159943
74.0,-0.14603008329868317,-0.4786687113646675,-0.24401911951958416,0.0,-0.14603008329868317,-0.02110357811053594,-0.25418658283290013,0.0,-0.15278542041778564,0.1337648332118988,3.2667680308676937e-197,-0.25418658283290013,0.0,-0.14233005046844482,-0.14243750274181366
75.0,-0.14622615277767181,-0.49015347107898316,-0.24415290193160147,0.0,-0.14622615277767181,-0.022908695924438928,-0.25418658283290013,0.0,-0.16093192994594574,-0.15829253196716309,1.76730836954921e-196,-0.25418658283290013,0.0,-0.15165026485919952,-0.14725103974342346
76.0,-0.14618739485740662,-0.48951598692917103,-0.2442832094757742,0.0,-0.14618739485740662,-0.0207210203463381,-0.25418658283290013,0.0,-0.14324189722537994,0.14554232358932495,4.350721326734728e-202,-0.25418658283290013,0.0,-0.15281608700752258,-0.14916983246803284
77.0,-0.1461688131093979,-0.4794166179279118,-0.24441017580086558,0.0,-0.1461688131093979,-0.022313209966971323,-0.25418658283290013,0.0,-0.14473764598369598,-0.14491181075572968,4.241312359333974e-201,-0.25418658283290013,0.0,-0.15704725682735443,-0.14166297018527985
78.0,-0.14643147587776184,-0.5121600265898933,-0.24453392778861285,0.0,-0.14643147587776184,-0.0201443968505799,-0.25418658283290013,0.0,-0.16692009568214417,0.14902302622795105,2.0384865948074287e-206,-0.25418658283290013,0.0,-0.16874220967292786,-0.1607424020767212
79.0,-0.1463344842195511,-0.15623527769872686,-0.24465458597666637,0.0,-0.1463344842195511,-0.018013789597898722,-0.25418658283290013,0.0,-0.13867118954658508,0.1503041833639145,2.364990217687357e-205,-0.25418658283290013,0.0,-0.17570576071739197,0.11497022956609726
80.0,-0.14643503725528717,-0.12529719900558237,-0.24477226495020013,0.0,-0.14643503725528717,-0.016263947166778422,-0.25418658283290013,0.0,-0.15447987616062164,0.12372344732284546,2.9253026951548982e-204,-0.25418658283290013,0.0,-0.1519252210855484,0.12072934955358505
81.0,-0.14683124423027039,-0.4437723444390678,-0.2448870737048672,0.0,-0.14683124423027039,-0.014391608263661222,-0.25418658283290013,0.0,-0.1789240539073944,0.1372678428888321,9.5789724565267e-204,-0.25418658283290013,0.0,-0.15001556277275085,-0.13150666654109955
82.0,-0.14660069346427917,-0.4613151729560926,-0.2449991159835182,0.0,-0.14660069346427917,-0.012627000280891556,-0.25418658283290013,0.0,-0.12769518792629242,0.132070854306221,6.174188015748627e-203,-0.25418658283290013,0.0,-0.1528637707233429,-0.146051824092865
83.0,-0.14674176275730133,-0.4673775557208549,-0.245108490588868,0.0,-0.14674176275730133,-0.014263778836244629,-0.25418658283290013,0.0,-0.1584511548280716,-0.15011639893054962,3.068948518330732e-202,-0.25418658283290013,0.0,-0.15064121782779694,-0.1557048261165619
84.0,-0.14683125913143158,-0.16327392427660845,-0.24521529167409192,0.0,-0.14683125913143158,-0.012504802994868334,-0.25418658283290013,0.0,-0.15434832870960236,0.13524916768074036,1.137053786413378e-207,-0.25418658283290013,0.0,-0.17855241894721985,0.11248134076595306
